File name,X start,Y Start,X End,Y end,,,
"D_KEY0_(8,126).BMP.bmp",2528,1030,2547,1049,,,
"D_KEY10_(160,164).BMP.bmp",2528,1129,2548,1150,,,
"D_KEY11_(198,164).BMP.bmp",2548,1129,2568,1150,,,
"D_KEY12_(8,202).BMP.bmp",2528,1150,2549,1171,,,
"D_KEY13_(46,202).BMP.bmp",2549,1150,2570,1171,,,
"D_KEY14_(84,202).BMP.bmp",2528,1171,2548,1190,,,
"D_KEY15_(122,202).BMP.bmp",2548,1171,2568,1190,,,
"D_KEY16_(160,202).BMP.bmp",2572,1030,2591,1050,,,
"D_KEY17_(198,202).BMP.bmp",2591,1030,2611,1050,,,
"D_KEY18_(8,240).BMP.bmp",2572,1050,2592,1070,,,
"D_KEY19_(46,240).BMP.bmp",2592,1050,2612,1070,,,
"D_KEY1_(46,126).BMP.bmp",2547,1030,2566,1049,,,
"D_KEY20_(84,240).BMP.bmp",2572,1070,2588,1085,,,
"D_KEY21_(122,240).BMP.bmp",2588,1070,2604,1085,,,
"D_KEY22_(160,240).BMP.bmp",2605,1071,2608,1075,,,
"D_KEY23_(0,0).BMP.bmp",2572,1085,2592,1105,,,
"D_KEY24_(0,0).BMP.bmp",2592,1085,2612,1105,,,
"D_KEY25_(0,0).BMP.bmp",2572,1105,2592,1126,,,
"D_KEY26_(0,0).BMP.bmp",2592,1105,2611,1126,,,
"D_KEY27_(0,0).BMP.bmp",2572,1126,2592,1146,,,
"D_KEY28_(0,0).BMP.bmp",2592,1126,2612,1146,,,
"D_KEY29_(0,0).BMP.bmp",2612,1126,2632,1146,,,
"D_KEY2_(84,126).BMP.bmp",2528,1049,2548,1068,,,
"D_KEY30_(0,0).BMP.bmp",2572,1146,2592,1167,,,
"D_KEY31_(0,0).BMP.bmp",2592,1146,2612,1167,,,
"D_KEY32_(0,0).BMP.bmp",2572,1167,2593,1187,,,
"D_KEY33_(0,0).BMP.bmp",2593,1167,2614,1187,,,
"D_KEY3_(122,126).BMP.bmp",2548,1049,2568,1068,,,
"D_KEY40_(0,0).BMP.bmp",2632,1030,2682,1041,,,
"D_KEY41_(0,0).BMP.bmp",2632,1041,2683,1052,,,
"D_KEY42_(0,0).BMP.bmp",2632,1052,2682,1063,,,
"D_KEY43_(0,0).BMP.bmp",2632,1063,2683,1074,,,
"D_KEY44_(0,0).BMP.bmp",2632,1074,2683,1085,,,
"D_KEY4_(160,126).BMP.bmp",2528,1068,2548,1089,,,
"D_KEY51_(0,0).BMP.bmp",2632,1085,2652,1105,,,
"D_KEY52_(0,0).BMP.bmp",2652,1085,2672,1105,,,
"D_KEY53_(0,0).BMP.bmp",2632,1105,2653,1125,,,
"D_KEY54_(0,0).BMP.bmp",2653,1105,2674,1125,,,
"D_KEY5_(198,126).BMP.bmp",2548,1068,2568,1089,,,
"D_KEY6_(8,164).BMP.bmp",2528,1089,2548,1109,,,
"D_KEY7_(46,164).BMP.bmp",2548,1089,2568,1109,,,
"D_KEY8_(84,164).BMP.bmp",2528,1109,2548,1129,,,
"D_KEY9_(122,164).BMP.bmp",2548,1109,2568,1129,,,
"D_LIST_(12,30).BMP.bmp",2632,1165,2652,1185,,,
"D_LIST_BLUE_(12,30).BMP.bmp",2652,1165,2672,1185,,,
"D_LIST_RED_(12,30).BMP.bmp",2672,1165,2692,1185,,,
"D_LOWPOWER_(0,120).BMP.bmp",1920,1044,2159,1144,,,
"D_MAINMENUPAGE10_(0,0).BMP.bmp",0,732,320,902,,,
"D_MAINMENUPAGE20_(0,0).BMP.bmp",320,732,640,902,,,
"D_MAINMENUPAGE30_(0,0).BMP.bmp",640,732,960,902,,,
"D_MAINMENUPAGE40_(0,0).BMP.bmp",960,732,1280,902,,,
"D_MAINMENUPAGE50_(0,0).BMP.bmp",1280,732,1600,902,,,
"D_MAINMENU_PLAYING_(0,0).BMP.bmp",2673,1086,2674,1087,,,
"D_MCARDNO1_(23,2).BMP.bmp",2700,1030,2721,1050,,,
"D_MCARDNO2_(23,2).BMP.bmp",2700,1050,2720,1070,,,
"D_MCARDNO3_(23,2).BMP.bmp",2720,1050,2740,1070,,,
"D_MCARDNO_(23,2).BMP.bmp",2721,1030,2742,1050,,,
"D_MCARDYES1_(23,2).BMP.bmp",2716,1090,2732,1104,,,
"D_MCARDYES_(23,2).BMP.bmp",2700,1090,2716,1104,,,
"D_MDB_BACKGROUND_(0,0).BMP.bmp",640,902,960,1072,,,
"D_MEDIAUPDATA_(12,30).BMP.bmp",2700,1070,2720,1090,,,
"D_MEDIAUPDATA_BLUE_(12,30).BMP.bmp",2720,1070,2739,1090,,,
"D_MEDIAUPDATA_RED_(12,30).BMP.bmp",2739,1070,2758,1090,,,
"D_MEIDASORTBAK0_(115,112).BMP.bmp",2506,1190,2596,1206,,,
"D_MEIDASORTBAK1_(115,112).BMP.bmp",2596,1190,2686,1206,,,
"D_MEIDASORTBAK2_(115,112).BMP.bmp",2686,1190,2776,1206,,,
"D_MEIDASORTBAK3_(115,112).BMP.bmp",2776,1190,2866,1206,,,
"D_MENUDOT_(0,0).BMP.bmp",1651,1410,1673,1412,,,
"D_MESSAGEBOX_BACKGROUND_(0,40).BMP.bmp",1919,1144,2159,1244,,,
"D_MUSIC_A_B_MODE_(131,0).BMP.bmp",2824,1030,2860,1041,,,
"D_MUSIC_A_B_MODE_BACK_(131,0).BMP.bmp",2824,1041,2860,1052,,,
"D_MUSIC_A_MODE_(131,0).BMP.bmp",2824,1052,2860,1063,,,
"D_MUSIC_BACKGROUND1_(0,0).BMP.bmp",960,902,1280,1072,,,
"D_MUSIC_BACKGROUND2_(0,0).BMP.bmp",2493,902,2652,1002,,,
"D_MUSIC_BACKGROUND_(0,0).BMP.bmp",1280,902,1600,1072,,,
"D_MUSIC_BATTERY01_(288,4).BMP.bmp",2861,962,2880,974,,,
"D_MUSIC_BATTERY02_(288,4).BMP.bmp",2861,974,2880,986,,,
"D_MUSIC_BATTERY03_(288,4).BMP.bmp",2861,986,2880,998,,,
"D_MUSIC_BATTERY04_(288,4).BMP.bmp",2861,998,2880,1010,,,
"D_MUSIC_BATTERY05_(288,4).BMP.bmp",2861,1010,2880,1022,,,
"D_MUSIC_BOTTOMA_(0,180).BMP.bmp",1756,1307,1914,1324,,,
"D_MUSIC_BOTTOM_(0,180).BMP.bmp",1756,1326,2016,1343,,,
"D_MUSIC_BPSBACKGROND_(2,95).BMP.bmp",2812,1136,2817,1141,,,
"D_MUSIC_B_(0,0).BMP.bmp",2724,902,2861,1029,,,
"D_MUSIC_EQ_BAS_(165,0).BMP.bmp",2761,1030,2782,1044,,,
"D_MUSIC_EQ_HEAVY_(165,0).BMP.bmp",2782,1030,2803,1044,,,
"D_MUSIC_EQ_JAZ_(165,0).BMP.bmp",2803,1030,2824,1044,,,
"D_MUSIC_EQ_MS_(165,0).BMP.bmp",2761,1044,2782,1058,,,
"D_MUSIC_EQ_NOR_(165,0).BMP.bmp",2782,1044,2803,1058,,,
"D_MUSIC_EQ_POP_(165,0).BMP.bmp",2803,1044,2824,1058,,,
"D_MUSIC_EQ_RETRO_(165,0).BMP.bmp",2761,1058,2782,1071,,,
"D_MUSIC_EQ_USE_(165,0).BMP.bmp",2782,1058,2803,1072,,,
"D_MUSIC_ICON_(0,0).BMP.bmp",2684,1089,2700,1105,,,
"D_MUSIC_LOOP_MODE02_(0,0).BMP.bmp",2700,1125,2716,1141,,,
"D_MUSIC_LOOP_MODE03_(0,0).BMP.bmp",2716,1125,2732,1141,,,
"D_MUSIC_LOOP_MODE04_(0,0).BMP.bmp",2732,1125,2748,1141,,,
"D_MUSIC_LOOP_MODE05_(0,0).BMP.bmp",2748,1125,2764,1141,,,
"D_MUSIC_LOOP_MODE06_(0,0).BMP.bmp",2764,1125,2780,1141,,,
"D_MUSIC_LOOP_MODE07_(0,0).BMP.bmp",2783,1134,2784,1135,,,
"D_MUSIC_ORDER_MODE03_(131,0).BMP.bmp",2700,1141,2717,1154,,,
"D_MUSIC_ORDER_MODE04_(131,0).BMP.bmp",2717,1141,2734,1154,,,
"D_MUSIC_PAUSE_STATE_(104,275).BMP.bmp",2734,1141,2746,1154,,,
"D_MUSIC_PLAY_STATE_(104,275).BMP.bmp",2746,1141,2756,1154,,,
"D_MUSIC_SLIDERBK_(44,205).BMP.bmp",2766,1141,2776,1151,,,
"D_MUSIC_SLIDER_(44,205).BMP.bmp",2756,1141,2766,1151,,,
"D_MUSIC_SMALLLOCK_(0,0).BMP.bmp",2776,1141,2788,1153,,,
"D_MUSIC_SMALLLOCK_BACK_(0,0).BMP.bmp",2788,1141,2800,1153,,,
"D_MYFAVO_(12,30).BMP.bmp",2695,1157,2716,1178,,,
"D_MYFAVO_BLUE_(12,30).BMP.bmp",2716,1157,2737,1178,,,
"D_MYFAVO_RED_(12,30).BMP.bmp",2737,1157,2758,1178,,,
"D_MYLOVEBX_(12,30).BMP.bmp",2812,1178,2825,1190,,,
"D_MYLOVEB_(12,30).BMP.bmp",2799,1178,2812,1190,,,
"D_MYLOVEX_(12,30).BMP.bmp",2825,1178,2838,1189,,,
"D_MYLOVE_(12,30).BMP.bmp",2786,1178,2799,1189,,,
"D_NOSEL00_ICON_(0,0).BMP.bmp",2824,1102,2861,1118,,,
"D_NOWPLAY_(12,30).BMP.bmp",2700,1104,2721,1125,,,
"D_NOWPLAY_BLUE_(12,30).BMP.bmp",2721,1104,2742,1125,,,
"D_NOWPLAY_RED_(12,30).BMP.bmp",2742,1104,2763,1125,,,
"D_PLAY_SCROLLBLANK_(0,0).BMP.bmp",2840,1145,2841,1152,,,
"D_PLAY_SCROLL_(0,0).BMP.bmp",2841,1145,2842,1152,,,
